time,1,AEX,AS51,ATX,BFX,DJIA,FCHI,FTSE,GDAXI,HSI,JKSE,KLSE,KS11,MIB#0Ò²È¥µô,MXX,N225,NZ50,OSEAX,PSI,RTS,SENSEX,SSMI,STI,TWII
2003-06-03,-0.9064,-0.9853964,-0.3817751,0.4784224,0.1341922,0.2825485,-0.2922973,-0.3293442,-1.231498,0.262412,-0.6505593,0.4063438,-1.814373,-1.142746,0.2488751,0.2026438,0.1231313,0.7708418,1.754098,1.55207,-0.761292,-0.8770024,-0.1238238,-0.3166429
2003-06-05,-1.1346,-0.1173494,0.250605,0.3114871,-0.4916974,0.02565926,-0.9719806,-0.5404035,-1.307135,-0.2464141,1.316079,1.425297,0.3295462,-0.3418636,-0.2375936,1.161156,0.8856033,-0.8785991,3.897051,-0.8848096,1.421113,-0.8823819,1.883014,1.28813
2003-06-10,0.5588,0.5084007,0.2066335,-0.04300258,0.6501421,0.8339605,0.9367582,-0.3899178,1.472815,-0.3060565,0.04042919,-0.3418953,-0.09225427,0.6772009,1.814287,-0.3812949,0.1270587,-0.4725003,0.04672791,-3.580094,-1.431093,0.04595456,-0.4566633,0.108977
2003-06-11,1.7599,2.430663,0.4942425,0.4702118,0.8629528,1.417246,1.233841,0.9020204,1.204004,-0.4293215,-0.7371821,0.9588426,0.2370109,0.8091246,0.7897475,1.151541,-0.2940211,1.29478,1.081081,2.040382,0.7615038,1.073313,0.611672,-0.5701397
2003-06-16,-0.4513,2.48835,0.08096904,-0.004620383,1.001016,2.213855,2.108437,0.4547496,3.022998,0.06737894,0.4329242,-0.9667482,-1.115384,1.474154,0.4991009,-1.567924,0.8965406,0.3198622,1.214882,5.173336,-0.5217433,2.195988,-0.9984699,0.21426
2003-06-17,-0.1616,0.3195524,0.7184218,0.1248878,0.1621301,0.04356248,0.8272198,0.9029835,0.6733031,1.704371,-0.71193,0.2619723,2.559966,0.4014145,1.577604,2.185222,1.244558,0.6739078,4.892452,0.9727183,2.828898,1.028486,2.181952,1.652169
2003-06-18,-0.2119,0.6830478,-0.7100889,0.5913189,0.5206251,-0.3134148,0.4117764,0.3961459,0.5376549,-0.5988843,-1.141364,-0.1897626,0.1615669,0.8567349,-0.06759704,0.663896,0.119054,-0.482256,-0.9086516,-1.059683,-0.002042196,0.8422921,-0.2713937,0.520388
2003-06-20,-0.6031,1.180554,-0.4671392,0.420985,1.173476,0.2311635,0.7962373,0.6922449,-0.2503804,-0.4990003,0.317758,0.1100207,-0.6184043,0.6676841,-0.04686363,0.1084449,0.3632471,-0.6526769,-0.8891129,0.5348963,1.299713,0.3679754,-0.1819264,-0.9176253
2003-06-23,-1.1841,-3.483852,0.08415917,0.0830885,-1.038147,-1.389015,-2.221557,-1.73554,-1.623662,-1.973952,-1.004989,0.3619323,-1.694784,-2.605647,-0.9266027,0.1836544,-0.1553784,0.4641597,-0.8688807,-1.308609,-1.089302,-2.246392,-1.846438,-1.616363
2003-06-24,0.0708,-0.8708083,-0.7535347,-0.5300699,-1.111564,0.406697,-0.5097364,-0.6604859,0.9713248,-1.078049,-1.208745,-0.9023073,-1.568362,0.5642572,1.415805,-2.384552,-0.7753189,-0.3411726,-2.041628,0.5439819,-0.4024387,0.06423875,-2.02432,-0.2521508
2003-06-25,-0.6843,1.450321,-0.1010199,-0.4570872,0.6135905,-1.079264,0.1727127,0.1723756,-0.5756314,-0.00373208,0.01799243,0.528933,1.509016,0.4353294,-0.5065787,0.145752,0.08672333,-0.2638973,2.228602,2.594741,2.025267,0.06419751,-0.321158,0.498644
2003-06-26,0.8854,-0.5704753,-1.219947,0.479955,-0.5701867,0.7491487,-0.1685589,-0.6440658,1.325486,-0.2376146,-0.4937238,0.05861815,0.2551772,-0.7513003,0.5666617,-0.0990747,-0.2037093,0.2788897,-0.790002,-1.52714,0.9987826,0.3249044,-0.6291683,-0.8062822
2003-06-27,-1.2096,1.779308,0.6769475,0.5167029,0.5320178,-0.9911867,0.1791568,0.6457703,-0.5109205,0.531949,1.801893,1.278715,0.2264194,-0.07763975,-0.4919599,2.024444,0.3255742,0.7701646,1.202211,0.6560309,0.8630829,0.002064806,1.498002,-0.3291751
2003-06-30,-0.7368,-2.170996,-0.7543952,-0.5635495,-0.04586144,-0.04015302,-0.8015362,-0.8997517,-0.1265198,-0.8293269,-0.2525748,0.07375946,-1.085229,-1.777389,-0.4017811,-0.2301085,1.843526,-0.7501221,-1.115957,0.9643322,0.6717672,-0.7054541,-2.299184,-0.1178786
