time,SH,DJIA,FCHI,FTSE,HSI,N225,SSMI,STI,TWII
2019/1/4,2.04962,3.292481,2.724279,2.177606,2.240911,-2.262372,1.770118,1.538399,-1.157873
2019/1/8,-0.2617407,1.088334,1.14639,0.744694,0.1538569,0.8237367,0.9602436,0.6490877,-0.2784083
2019/1/9,0.7077146,0.385371,0.8444957,0.6562578,2.268061,1.103846,0.63794,1.124906,1.826822
2019/1/10,-0.3631586,0.5142601,-0.1645329,0.5247166,0.2233718,-1.288779,1.555927,0.8055534,-0.1809261
2019/1/11,0.7388261,-0.02487594,-0.5060764,-0.3556158,0.5498943,0.9715353,0.2519457,0.4755723,0.3982223
2019/1/15,1.363697,0.6514055,0.4917311,0.583514,2.022786,0.9606716,0.6914448,1.223904,1.007603
2019/1/16,0.00310597,0.5882686,0.5133606,-0.4690319,0.2676473,-0.5474944,0.5144637,0.5233029,-0.4306577
2019/1/17,-0.4193879,0.6731043,-0.3402827,-0.4045104,-0.544451,-0.1980187,0.4881491,-0.4543099,0.2595382
2019/1/18,1.420908,1.379765,1.701163,1.951891,1.252744,1.292997,1.157797,0.3079898,0.4791956
2019/1/22,-1.180231,-1.221828,-0.4160008,-0.9927382,-0.7026256,-0.4653622,-0.4933755,-0.8647594,0.05318589
2019/1/23,0.05039535,0.7012593,-0.1474958,-0.8478039,0.01018313,-0.141539,-0.2495865,-0.6765367,-0.4877355
2019/1/24,0.4141783,-0.09106141,0.6524298,-0.349702,0.4175815,-0.0926974,-0.1452092,0.6187068,0.3119894
2019/1/25,0.3870073,0.7492249,1.105507,-0.1426903,1.652628,0.9668688,-0.1498883,0.3610465,0.9364089
2019/1/29,-0.1051214,0.2109417,0.8100532,1.286924,-0.1641996,0.0757452,0.8846706,-0.369122,-0.8163142
2019/1/30,-0.7200513,1.769321,0.9451681,1.575956,0.4037891,-0.5231234,0.4138471,-0.4175456,0.006745364
2019/2/12,0.67787,1.487442,0.8351806,0.05653263,0.09767763,2.611698,0.6389009,-0.1596908,0.9345052
2019/2/13,1.840651,0.4621682,0.3544043,0.8088963,1.158127,1.343303,0.433095,1.362639,-0.0709085
2019/2/14,-0.05035214,-0.4066782,-0.2315604,0.08580252,-0.2299811,-0.02255686,-0.2772999,0.2585666,-0.01556216
2019/2/15,-1.372024,1.744772,1.791004,0.5512068,-1.868353,-1.130952,1.072856,-0.4125196,-0.2401573
2019/2/19,0.04680087,0.03117967,-0.1551699,-0.5582168,-0.4193702,0.09773954,-0.07661504,-0.1889154,0.06879546
2019/2/20,0.2022393,0.2437849,0.6865621,0.688801,1.01289,0.6048067,0.6047843,0.5699685,1.183975
2019/2/21,-0.3410449,-0.3999647,0.003072931,-0.8470494,0.4063581,0.152767,0.1932263,-0.01433546,0.4582185
2019/2/22,1.905118,0.7008714,0.3799041,0.1564023,0.6510003,-0.1803964,0.1607114,-0.2443633,0.03284692
2019/2/26,-0.6675095,-0.1301886,0.1313133,-0.4540826,-0.6465634,-0.3662161,0.5945206,-0.3266822,0.00596787
2019/2/27,0.418419,-0.2794549,-0.2552173,-0.6141684,-0.05081699,0.4994041,-0.4007019,-0.3568702,-0.0229021
2019/3/5,0.8809408,-0.05042489,0.2071323,0.6873754,0.006939897,-0.4388213,0.2875552,-0.5232111,-0.4311172
2019/3/6,1.566771,-0.5160298,-0.1644158,0.1749836,0.2624165,-0.5959085,-0.2017735,-0.3472399,0.5035353
2019/3/11,1.923688,0.7883644,0.664085,0.3703394,0.9737735,0.4733728,0.8400346,-0.1392483,0.08328922
2019/3/12,1.100596,-0.3751166,0.08146737,0.2879102,1.464983,1.79218,-0.1905904,0.65269,0.9077781
2019/3/13,-1.089955,0.5800526,0.685544,0.11243,-0.3921733,-0.9926167,0.634014,-0.5186368,0.2899476
2019/3/14,-1.198099,0.02742426,0.8178816,0.3665252,0.1525349,-0.0151276,1.079897,0.07290778,-0.2378209
2019/3/15,1.038756,0.5403734,1.038174,0.5963402,0.5575784,0.7696243,0.01264745,0.07067125,0.8753783
2019/3/19,-0.1757481,-0.1031051,0.2414601,0.3399015,0.1947346,-0.08177345,0.305259,0.2477454,-0.003613561
2019/3/20,-0.01084464,-0.5474132,-0.7969138,-0.4504401,-0.4931352,0.1950693,-0.6571503,-0.4116839,0.3732692
2019/3/22,0.08682606,-1.772515,-2.025157,-2.008348,0.1437791,0.08524221,-1.424045,-0.04822569,0.2782447
